業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
クロスチェック業務	速報クロスチェックフロー		比較依頼の取得		速報比較依頼を claim する	条件	lease 失効判定				
クロスチェック業務	速報クロスチェックフロー		比較依頼の取得		速報比較依頼を claim する	画面	rapid-crosscheck worker claim 出力	アクター	運用者		受益者
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	速報比較依頼(rapid_crosscheck_request)			速報クロスチェック worker が依頼を RUNNING にし、クロスチェックのジョブマップにある job_id ごとの比較定義に従って比較ツールでジョブ単位の比較を非同期に実行する。比較ツールの stdout・stderr・exitcode を依頼レコードへ保存し、exitcode 0 なら SUCCEEDED、非 0(比較 NG=3・実行エラー=6 など)なら FAILED として comparison_result を管理 DB に登録する。結果はジョブスケジューラへの応答に影響させない	
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	クロスチェックジョブマップ				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	比較定義				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	比較ツール実行結果				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	比較結果(comparison_result)				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	実行ログ				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	依頼状態遷移規則				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	比較定義の選択				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	比較ツール終了コードの対応				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	速報結果の位置付け				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	比較結果の登録条件				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	画面	rapid-crosscheck worker 比較実行出力	アクター	運用者		受益者
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	イベント	ジョブ単位比較の起動	外部システム	比較ツール		
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	情報	ジョブ起動要求			ジョブスケジューラの別ジョブ定義から起動された確報クロスチェック runner が、business_date と対象カタログの版で final_crosscheck_request を REQUESTED で登録し、SUCCEEDED / FAILED / ABORTED の終端状態になるまで同期 polling する。確報の制御は feature flag に含めず、rapid_run や rapid_crosscheck_request を再利用しない	
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	情報	確報比較依頼(final_crosscheck_request)				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	情報	対象カタログ				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	情報	クロスチェックジョブマップ				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	条件	確報依頼の登録条件				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	条件	速報と確報のモデル分離				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	条件	確報クロスチェック非起動				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	条件	依頼状態遷移規則				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	画面	final-crosscheck runner 待機出力	アクター	運用者		受益者
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	イベント	確報ジョブの起動	外部システム	ジョブスケジューラ		
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の取得		確報比較依頼を claim する	情報	確報比較依頼(final_crosscheck_request)			確報クロスチェック worker が DB セグメントで管理 DB を poll し、REQUESTED の確報比較依頼を worker_id と lease_until 付きで CLAIMED にする。lease が失効しかつ未開始なら REQUESTED に戻し、速報と同じライフサイクルで多重実行を防ぐ	
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の取得		確報比較依頼を claim する	条件	依頼状態遷移規則				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の取得		確報比較依頼を claim する	条件	claim 排他				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の取得		確報比較依頼を claim する	条件	lease 失効判定				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の取得		確報比較依頼を claim する	画面	final-crosscheck worker claim 出力	アクター	運用者		受益者
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	情報	確報比較依頼(final_crosscheck_request)			確報クロスチェック worker が依頼を RUNNING にし、対象カタログに従って比較ツールで全テーブル・全ファイルの日次全量比較を起動する。起動した実装の stdout・stderr・exitcode を依頼レコードへ保存し、exitcode 0 なら SUCCEEDED、非 0 または実行エラーなら FAILED とする	
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	情報	対象カタログ				
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	情報	比較ツール実行結果				
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	情報	実行ログ				
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	条件	依頼状態遷移規則				
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	条件	比較ツール終了コードの対応				
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	条件	適用側で定義する事項				
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	画面	final-crosscheck worker 比較実行出力	アクター	運用者		受益者
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	イベント	日次全量比較の起動	外部システム	比較ツール		
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	情報	確報比較依頼(final_crosscheck_request)			確報クロスチェック runner が終端状態になった依頼に保存された stdout・stderr・exitcode をそのまま標準出力・標準エラー・終了コードとしてジョブスケジューラへ返す。チェック結果・差分件数・レポート URI・依頼の管理状態名などの連携データは追加しない	
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	情報	比較ツール実行結果				
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	情報	ジョブスケジューラ応答				
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	条件	確報結果の中継制約				
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	条件	比較ツール終了コードの対応				
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	条件	CLI とメールによる提示				
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	画面	final-crosscheck runner 応答出力	アクター	運用者		受益者
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	イベント	確報結果の無加工中継	外部システム	ジョブスケジューラ		
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	情報	slot 実行			ジョブスケジューラの定期ジョブ(5 分ごとなど)として起動されたハング検知スクリプトが、未完了の background slot 実行と速報比較依頼を走査する。started-at.txt と execution-spec.json の hang_detect_limit_minutes から経過時間を判定し、hang_detect_limit_minutes が 0 の role と foreground role は監視対象外とする。exitcode.txt が 0 なら正常終了、非 0 なら実行エラー、未出力で上限超過ならハング疑い、速報比較依頼が FAILED または比較 NG なら比較異常と判定する。RAPID_CROSSCHECK_MODE=off の場合は管理 DB なしで slot 成果物だけを走査する	
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	情報	Runner Result				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	情報	実行設定(execution-spec)				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	情報	ハング検知上限設定				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	情報	速報比較依頼(rapid_crosscheck_request)				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	情報	監視記録				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	条件	ハング検知判定				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	条件	ハング検知対象の除外				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	条件	速報比較依頼の異常判定				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	条件	速報クロスチェック有効判定				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	条件	成果物公開判定				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	条件	slot 実行の状態導出規則				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	画面	hang-detect 判定出力	アクター	運用者		受益者
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	イベント	定期監視ジョブの起動	外部システム	ジョブスケジューラ		
実行監視業務	background 実行監視フロー		異常の通知		ハング疑い・実行エラー・比較異常を通知する	情報	監視記録			判定結果に応じて、ハング疑いを warning、background 実行エラーと速報クロスチェック異常を error のメールとして運用者へ送信する。速報比較依頼が RUNNING のときは状態を変更せずハング疑いとして通知する。監視は通知のみで、RUNNING を ABORTED へ変更せず、実行プロセスを停止せず、新しい実行依頼を作成しない。通知先メールアドレス・送信コマンド・件名プレフィックスはハング検知定期ジョブ設定(hang-detector.env)から取得する。ハング疑い通知後に対象が終端した場合は再判定し、比較異常 / 実行エラーを追加通知するか正常終了(中止済みを含む)で監視記録を終端する	
実行監視業務	background 実行監視フロー		異常の通知		ハング疑い・実行エラー・比較異常を通知する	情報	通知メール				
実行監視業務	background 実行監視フロー		異常の通知		ハング疑い・実行エラー・比較異常を通知する	情報	slot 実行				
実行監視業務	background 実行監視フロー		異常の通知		ハング疑い・実行エラー・比較異常を通知する	情報	速報比較依頼(rapid_crosscheck_request)				
実行監視業務	background 実行監視フロー		異常の通知		ハング疑い・実行エラー・比較異常を通知する	情報	ハング検知定期ジョブ設定				
実行監視業務	background 実行監視フロー		異常の通知		ハング疑い・実行エラー・比較異常を通知する	条件	通知レベルの判定				
実行監視業務	background 実行監視フロー		異常の通知		ハング疑い・実行エラー・比較異常を通知する	条件	速報比較依頼の異常判定				
実行監視業務	background 実行監視フロー		異常の通知		ハング疑い・実行エラー・比較異常を通知する	条件	監視は通知のみ				
実行監視業務	background 実行監視フロー		異常の通知		ハング疑い・実行エラー・比較異常を通知する	画面	hang-detect 異常通知出力	アクター	運用者		受益者
実行監視業務	background 実行監視フロー		異常の通知		ハング疑い・実行エラー・比較異常を通知する	イベント	warning / error メールの送信	外部システム	メール通知		
実行監視業務	background 実行監視フロー		監視記録の保存		監視記録を保存する	情報	監視記録			background 実行ごとに monitor_status(監視対象外 / 監視中 / ハング疑い通知済み / 実行エラー通知済み / 比較異常通知済み / 正常終了)と hang_suspected_at・alerted_at を記録する。通知後に正常終了した実行についても警告時の経過時間を記録し、通常処理の警告傾向を確認できるようにする	
実行監視業務	background 実行監視フロー		監視記録の保存		監視記録を保存する	情報	実行ログ				
実行監視業務	background 実行監視フロー		監視記録の保存		監視記録を保存する	条件	警告傾向の記録				
実行監視業務	background 実行監視フロー		監視記録の保存		監視記録を保存する	条件	監視は通知のみ				
実行監視業務	background 実行監視フロー		監視記録の保存		監視記録を保存する	画面	hang-detect 監視記録出力	アクター	運用者		受益者
実行監視業務	background 実行監視フロー		ハング検知上限の調整		hang_detect_limit_minutes をジョブごとに調整する	情報	監視記録			導入時は全ジョブ 60 分とし、正常終了パターンの警告が出そろった時点で監視記録の警告時経過時間を基準に slot ジョブマップの hang_detect_limit_minutes をジョブごとに調整する。foreground role は 0 に設定して検知対象から除外する。調整は以後の run の execution-spec.json に反映され、実行済みの run には影響しない。調整の記録(調整日時・調整根拠となる警告時経過時間)は適用構成文書に残す	
実行監視業務	background 実行監視フロー		ハング検知上限の調整		hang_detect_limit_minutes をジョブごとに調整する	情報	ハング検知上限設定				
実行監視業務	background 実行監視フロー		ハング検知上限の調整		hang_detect_limit_minutes をジョブごとに調整する	情報	ジョブマップ				
実行監視業務	background 実行監視フロー		ハング検知上限の調整		hang_detect_limit_minutes をジョブごとに調整する	情報	実行設定(execution-spec)				
実行監視業務	background 実行監視フロー		ハング検知上限の調整		hang_detect_limit_minutes をジョブごとに調整する	情報	適用構成文書				
実行監視業務	background 実行監視フロー		ハング検知上限の調整		hang_detect_limit_minutes をジョブごとに調整する	条件	ハング検知上限の調整基準				
実行監視業務	background 実行監視フロー		ハング検知上限の調整		hang_detect_limit_minutes をジョブごとに調整する	条件	ハング検知対象の除外				
実行監視業務	background 実行監視フロー		ハング検知上限の調整		hang_detect_limit_minutes をジョブごとに調整する	条件	設定所有区分				
実行監視業務	background 実行監視フロー		ハング検知上限の調整		hang_detect_limit_minutes をジョブごとに調整する	条件	実行設定の確定条件				
実行監視業務	background 実行監視フロー		ハング検知上限の調整		hang_detect_limit_minutes をジョブごとに調整する	画面	hang-detect 警告傾向出力	アクター	運用者		受益者
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	中止指示			abort-blue / abort-green / abort-rapid-crosscheck / abort-final-crosscheck を --run-id 付きで起動し、対象の現在状態を表示してプロセス強制終了を対話確認する。yes のときに限り、background かつ RUNNING の slot 実行または RUNNING の比較依頼を ABORTED へ更新し、並行稼働実行も ABORTED にする。対象 slot が foreground または off、あるいは RUNNING 以外の場合は状態を変更せずエラー終了する。スクリプト自身はプロセスを停止せず状態更新だけを行い、二重実行を防ぐ。abort-blue / abort-green は成果物ディレクトリに aborted.txt(中止日時 1 行)を書き、RAPID_CROSSCHECK_MODE が off 以外なら管理 DB の状態も ABORTED に更新する。off でも成果物ファイルだけで中止が成立し、background-rerun で同じ run をリランできる	
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	slot 実行				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	速報比較依頼(rapid_crosscheck_request)				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	確報比較依頼(final_crosscheck_request)				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	並行稼働実行(parallel_run)				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	実行ログ				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	Runner Result				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	条件	slot 中止可否判定				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	条件	依頼中止可否判定				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	条件	停止確認応答				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	条件	依頼状態遷移規則				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	条件	slot 実行の状態導出規則				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	画面	abort 状態更新出力	アクター	運用者		受益者
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	イベント	中止スクリプトの起動	外部システム	ジョブスケジューラ		
実行復旧業務	background 側リランフロー		リラン系譜の追跡		リラン結果を parent_run_id で追跡する	情報	並行稼働実行(parallel_run)			リランで発行された新しい run_id の実行結果を、parent_run_id をたどって元の実行まで数珠つなぎに追跡し、障害対応の経緯と結果の対応関係を管理 DB と成果物ディレクトリで確認する	
実行復旧業務	background 側リランフロー		リラン系譜の追跡		リラン結果を parent_run_id で追跡する	情報	リラン指示				
実行復旧業務	background 側リランフロー		リラン系譜の追跡		リラン結果を parent_run_id で追跡する	情報	Runner Result				
実行復旧業務	background 側リランフロー		リラン系譜の追跡		リラン結果を parent_run_id で追跡する	情報	実行ログ				
実行復旧業務	background 側リランフロー		リラン系譜の追跡		リラン結果を parent_run_id で追跡する	条件	リラン系譜の追跡				
実行復旧業務	background 側リランフロー		リラン系譜の追跡		リラン結果を parent_run_id で追跡する	条件	実行履歴はジョブスケジューラの責務				
実行復旧業務	background 側リランフロー		リラン系譜の追跡		リラン結果を parent_run_id で追跡する	画面	background-rerun 系譜追跡出力	アクター	運用者		受益者
実行復旧業務	background 側リランフロー		リラン対象の事前検証		リラン対象を検証する	情報	リラン指示			ジョブスケジューラの専用ジョブから --source-run-id と --role(blue / green / rapid-crosscheck)付きで起動された background-rerun が、元の実行の execution-spec.json と管理 DB の状態を確認する。元の slot mode が foreground または off、未対応の role、元の実行が見つからない、元の実行が RUNNING または中止未確認の場合はリランせずエラー終了する。foreground slot 実行と確報クロスチェックはジョブスケジューラの正規ジョブを直接再実行する	
実行復旧業務	background 側リランフロー		リラン対象の事前検証		リラン対象を検証する	情報	実行設定(execution-spec)				
実行復旧業務	background 側リランフロー		リラン対象の事前検証		リラン対象を検証する	情報	並行稼働実行(parallel_run)				
実行復旧業務	background 側リランフロー		リラン対象の事前検証		リラン対象を検証する	情報	slot 実行				
実行復旧業務	background 側リランフロー		リラン対象の事前検証		リラン対象を検証する	情報	速報比較依頼(rapid_crosscheck_request)				
実行復旧業務	background 側リランフロー		リラン対象の事前検証		リラン対象を検証する	情報	Runner Result				
実行復旧業務	background 側リランフロー		リラン対象の事前検証		リラン対象を検証する	条件	リラン事前検証				
実行復旧業務	background 側リランフロー		リラン対象の事前検証		リラン対象を検証する	条件	復旧手段の選択				
実行復旧業務	background 側リランフロー		リラン対象の事前検証		リラン対象を検証する	条件	slot 実行の状態導出規則				
実行復旧業務	background 側リランフロー		リラン対象の事前検証		リラン対象を検証する	画面	background-rerun 事前検証出力	アクター	運用者		受益者
実行復旧業務	background 側リランフロー		リラン対象の事前検証		リラン対象を検証する	イベント	リラン専用ジョブの起動	外部システム	ジョブスケジューラ		
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	情報	リラン指示			--role が blue または green のとき、最新のジョブマップを再解決せず、元の execution-spec.json から実行パラメータ・ホスト・実行ユーザー・スクリプト・作業ディレクトリを復元し、新しい run_id を発行して background slot を再実行する。新しい parallel_run の parent_run_id には直前のリラン元 run_id を設定し、Runner Result を新しい成果物ディレクトリへ出力する。この parallel_run は background slot の終端時に runner が COMPLETED にする	
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	情報	実行設定(execution-spec)				
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	情報	並行稼働実行(parallel_run)				
