業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	比較定義の選択				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	比較ツール終了コードの対応				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	速報結果の位置付け				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	比較結果の登録条件				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	依頼中止可否判定				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	画面	rapid-crosscheck worker 比較実行出力	アクター	運用者		受益者
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	イベント	ジョブ単位比較の起動	外部システム	比較ツール		
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	中止指示			abort-blue / abort-green / abort-rapid-crosscheck / abort-final-crosscheck を --run-id 付きで起動し、対象の現在状態を表示してプロセス強制終了を対話確認する。yes のときに限り、background かつ RUNNING の slot 実行、REQUESTED / CLAIMED / RUNNING の速報比較依頼(abort-rapid-crosscheck。status IN 条件付き UPDATE)、または RUNNING の確報比較依頼(abort-final-crosscheck)を ABORTED へ更新し、並行稼働実行も ABORTED にする。対象 slot が foreground または off、あるいは中止できる状態以外の場合は状態を変更せずエラー終了する。スクリプト自身はプロセスを停止せず状態更新だけを行い、二重実行を防ぐ。abort-blue / abort-green は成果物ディレクトリに aborted.txt(中止日時 1 行)を書き、RAPID_CROSSCHECK_MODE が off 以外なら管理 DB の状態も ABORTED に更新する。off でも成果物ファイルだけで中止が成立し、background-rerun で同じ run をリランできる。abort-blue / abort-green は対象 run に REQUESTED で未着手(worker が claim していない)の速報比較依頼があればそれも ABORTED にする(両系の完了通知で依頼が作成された後に slot を中止した場合の競合窓を塞ぐ保険。dispatcher 側の条件「中止済み run の比較依頼作成除外」と併用)。CLAIMED / RUNNING の依頼は abort-blue / abort-green では変更せず abort-rapid-crosscheck で中止する。CLAIMED の依頼を中止した場合、claim 済みの worker は RUNNING への条件付き UPDATE が 0 件となり比較を開始しない	
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	slot 実行				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	速報比較依頼(rapid_crosscheck_request)				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	確報比較依頼(final_crosscheck_request)				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	並行稼働実行(parallel_run)				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	実行ログ				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	情報	Runner Result				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	条件	slot 中止可否判定				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	条件	依頼中止可否判定				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	条件	停止確認応答				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	条件	依頼状態遷移規則				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	条件	slot 実行の状態導出規則				
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	画面	abort 状態更新出力	アクター	運用者		受益者
実行復旧業務	実行中止フロー		実行状態の中止更新		実行を ABORTED へ遷移させる	イベント	中止スクリプトの起動	外部システム	ジョブスケジューラ		
