業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	イベント	JOB_ID 付き facade 起動	外部システム	ジョブスケジューラ		
実装切替業務	実装切替ジョブ実行フロー		業務ジョブの起動		slot 実行モードを選択して runner を起動する	イベント	parallel_run の登録	外部システム	管理 DB(RDB)		
実装切替業務	実装切替ジョブ実行フロー		実行先の解決		ジョブマップで JOB_ID から実行先を解決する	情報	ジョブ起動要求			slot runner が実装固有のジョブマップから JOB_ID に対応するホスト・実行ユーザー・スクリプト・作業ディレクトリ・固定引数(JSON 配列)・hang_detect_limit_minutes を解決する。固定引数の後ろにジョブスケジューラから渡された PARAM... を順序を変えずに連結する。ジョブマップ未定義の場合も Runner Result の 3 ファイルを可能な限り出力して異常終了する	
実装切替業務	実装切替ジョブ実行フロー		実行先の解決		ジョブマップで JOB_ID から実行先を解決する	情報	ジョブマップ				
実装切替業務	実装切替ジョブ実行フロー		実行先の解決		ジョブマップで JOB_ID から実行先を解決する	情報	ハング検知上限設定				
実装切替業務	実装切替ジョブ実行フロー		実行先の解決		ジョブマップで JOB_ID から実行先を解決する	情報	Runner Result				
実装切替業務	実装切替ジョブ実行フロー		実行先の解決		ジョブマップで JOB_ID から実行先を解決する	条件	ジョブマップ解決条件				
実装切替業務	実装切替ジョブ実行フロー		実行先の解決		ジョブマップで JOB_ID から実行先を解決する	条件	引数連結規則				
実装切替業務	実装切替ジョブ実行フロー		実行先の解決		ジョブマップで JOB_ID から実行先を解決する	条件	設定所有区分				
実装切替業務	実装切替ジョブ実行フロー		実行先の解決		ジョブマップで JOB_ID から実行先を解決する	条件	Runner Result 完備条件				
実装切替業務	実装切替ジョブ実行フロー		実行先の解決		ジョブマップで JOB_ID から実行先を解決する	画面	slot runner ジョブマップ解決出力	アクター	運用者		受益者
実装切替業務	実装切替ジョブ実行フロー		実行設定の確定保存		execution-spec.json を確定保存する	情報	実行設定(execution-spec)			run 開始時に解決済みの実行設定・追加引数・マップ版・実装版・role ごとの hang_detect_limit_minutes を execution-spec.json として一時ファイル経由で一度だけ確定保存する。認証情報は値を保存せず参照名だけを保存する。run 開始後にジョブマップを変更しても同じ run の execution-spec.json は上書きしない	
実装切替業務	実装切替ジョブ実行フロー		実行設定の確定保存		execution-spec.json を確定保存する	情報	ジョブマップ				
実装切替業務	実装切替ジョブ実行フロー		実行設定の確定保存		execution-spec.json を確定保存する	情報	ハング検知上限設定				
実装切替業務	実装切替ジョブ実行フロー		実行設定の確定保存		execution-spec.json を確定保存する	情報	並行稼働実行(parallel_run)				
実装切替業務	実装切替ジョブ実行フロー		実行設定の確定保存		execution-spec.json を確定保存する	条件	実行設定の確定条件				
実装切替業務	実装切替ジョブ実行フロー		実行設定の確定保存		execution-spec.json を確定保存する	条件	認証情報の非保存				
実装切替業務	実装切替ジョブ実行フロー		実行設定の確定保存		execution-spec.json を確定保存する	条件	成果物公開判定				
実装切替業務	実装切替ジョブ実行フロー		実行設定の確定保存		execution-spec.json を確定保存する	画面	slot runner 実行設定確定出力	アクター	運用者		受益者
実装切替業務	実装切替ジョブ実行フロー		実装の実行と結果出力		実装スクリプトを実行して Runner Result を出力する	情報	実行設定(execution-spec)			slot runner が解決済みの実行先ホストへ実行ユーザーで SSH 接続し、現行実装または新実装のスクリプトを作業ディレクトリ・固定引数・追加引数付きで実行する。foreground / background を問わず started-at.txt・stdout.log・stderr.log・exitcode.txt を成果物ディレクトリに一時ファイル経由で原子的に出力し、起動失敗や SSH 失敗でも可能な限り 3 ファイルを揃える。exitcode.txt が 0 なら slot 実行を SUCCEEDED、非 0 なら FAILED とする	
実装切替業務	実装切替ジョブ実行フロー		実装の実行と結果出力		実装スクリプトを実行して Runner Result を出力する	情報	slot 実行				
実装切替業務	実装切替ジョブ実行フロー		実装の実行と結果出力		実装スクリプトを実行して Runner Result を出力する	情報	Runner Result				
実装切替業務	実装切替ジョブ実行フロー		実装の実行と結果出力		実装スクリプトを実行して Runner Result を出力する	情報	実行ログ				
実装切替業務	実装切替ジョブ実行フロー		実装の実行と結果出力		実装スクリプトを実行して Runner Result を出力する	条件	Runner Result 完備条件				
実装切替業務	実装切替ジョブ実行フロー		実装の実行と結果出力		実装スクリプトを実行して Runner Result を出力する	条件	成果物公開判定				
実装切替業務	実装切替ジョブ実行フロー		実装の実行と結果出力		実装スクリプトを実行して Runner Result を出力する	条件	引数連結規則				
実装切替業務	実装切替ジョブ実行フロー		実装の実行と結果出力		実装スクリプトを実行して Runner Result を出力する	条件	実装固有事項の runner への閉じ込め				
実装切替業務	実装切替ジョブ実行フロー		実装の実行と結果出力		実装スクリプトを実行して Runner Result を出力する	画面	slot runner 実行出力	アクター	運用者		受益者
実装切替業務	実装切替ジョブ実行フロー		実装の実行と結果出力		実装スクリプトを実行して Runner Result を出力する	イベント	実行先ホストへのリモート実行	外部システム	リモート実行ホスト(SSH)		
実装切替業務	実装切替ジョブ実行フロー		実装の実行と結果出力		実装スクリプトを実行して Runner Result を出力する	イベント	現行実装スクリプトの起動	外部システム	現行実装(blue)		
実装切替業務	実装切替ジョブ実行フロー		実装の実行と結果出力		実装スクリプトを実行して Runner Result を出力する	イベント	新実装スクリプトの起動	外部システム	新実装(green)		
実装切替業務	実装切替ジョブ実行フロー		foreground 結果の中継		foreground slot の結果をジョブスケジューラへ中継する	情報	Runner Result			facade が foreground slot の stdout.log・stderr.log・exitcode.txt をそのまま標準出力・標準エラー・終了コードとしてジョブスケジューラへ返す。background slot の完了や速報クロスチェックの結果は応答に含めず待機もしない。中継が完了すると parallel_run を COMPLETED へ遷移させる	
実装切替業務	実装切替ジョブ実行フロー		foreground 結果の中継		foreground slot の結果をジョブスケジューラへ中継する	情報	ジョブスケジューラ応答				
実装切替業務	実装切替ジョブ実行フロー		foreground 結果の中継		foreground slot の結果をジョブスケジューラへ中継する	情報	並行稼働実行(parallel_run)				
実装切替業務	実装切替ジョブ実行フロー		foreground 結果の中継		foreground slot の結果をジョブスケジューラへ中継する	情報	slot 実行				
実装切替業務	実装切替ジョブ実行フロー		foreground 結果の中継		foreground slot の結果をジョブスケジューラへ中継する	条件	ジョブスケジューラ応答の決定				
実装切替業務	実装切替ジョブ実行フロー		foreground 結果の中継		foreground slot の結果をジョブスケジューラへ中継する	条件	速報結果の位置付け				
実装切替業務	実装切替ジョブ実行フロー		foreground 結果の中継		foreground slot の結果をジョブスケジューラへ中継する	条件	CLI とメールによる提示				
実装切替業務	実装切替ジョブ実行フロー		foreground 結果の中継		foreground slot の結果をジョブスケジューラへ中継する	画面	facade 応答出力	アクター	運用者		受益者
実装切替業務	実装切替ジョブ実行フロー		foreground 結果の中継		foreground slot の結果をジョブスケジューラへ中継する	イベント	foreground 結果の無加工中継	外部システム	ジョブスケジューラ		
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	情報	比較結果(comparison_result)			管理 DB に登録された comparison_result(comparison_type・status・difference_count・report_uri・compared_at)と依頼レコードの stdout・stderr・exitcode を run_id で参照し、blue / green の差分の原因を調査する。速報の結果は原因調査に使用し、リリース判断の正本には用いない	
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	情報	速報比較依頼(rapid_crosscheck_request)				
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	情報	比較ツール実行結果				
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	情報	並行稼働実行(parallel_run)				
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	情報	Runner Result				
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	条件	速報結果の位置付け				
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	条件	比較ツール終了コードの対応				
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	画面	rapid-crosscheck 結果参照出力	アクター	運用者		受益者
クロスチェック業務	速報クロスチェックフロー		差分の原因調査		速報比較結果を参照する	イベント	comparison_result の参照	外部システム	管理 DB(RDB)		
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	情報	完了通知			blue / green runner が完了時に系統ごとの公開 function(blue-completed / green-completed)で run_id・job_id・結果を速報クロスチェック runner へ通知して終了する。runner は相手側の状態や比較依頼の要否を判断しない。RAPID_CROSSCHECK_MODE=off のときは完了通知を送信せず、速報管理 DB への接続・書き込みも行わない	
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	情報	Runner Result				
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	情報	slot 実行				
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	情報	feature flag 設定				
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	条件	速報クロスチェック有効判定				
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	条件	完了通知の系統独立				
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	画面	slot runner 完了通知出力	アクター	運用者		受益者
クロスチェック業務	速報クロスチェックフロー		完了通知の送信		速報クロスチェック runner へ完了通知を送信する	イベント	完了結果の速報管理 DB 書き込み	外部システム	管理 DB(RDB)		
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	完了通知			速報クロスチェック runner が完了通知を受けて rapid_run の blue_status / green_status を更新し、速報実行の完了状況を両系未完了 → 片系完了 → 両系成功 / いずれか失敗へ進める。blue と green の両方が成功したときに限り、完了順にかかわらず rapid_crosscheck_request を REQUESTED で 1 件だけ一意に作成して比較依頼作成済みとする。いずれかが失敗した場合は比較依頼を作成せず終了する	
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	速報実行(rapid_run)				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	速報比較依頼(rapid_crosscheck_request)				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	情報	並行稼働実行(parallel_run)				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	両系成功判定				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	比較依頼の一意性				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	依頼状態遷移規則				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	条件	速報と確報のモデル分離				
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	画面	rapid-crosscheck runner 判定出力	アクター	運用者		受益者
クロスチェック業務	速報クロスチェックフロー		比較依頼の作成判定		両系成功時に速報比較依頼を作成する	イベント	rapid_run 更新と比較依頼登録	外部システム	管理 DB(RDB)		
クロスチェック業務	速報クロスチェックフロー		比較依頼の取得		速報比較依頼を claim する	情報	速報比較依頼(rapid_crosscheck_request)			速報クロスチェック worker が管理 DB をジョブキューとして poll し、REQUESTED の速報比較依頼を worker_id と lease_until 付きで CLAIMED にする。CLAIMED で lease が失効しかつ未開始の依頼は REQUESTED に戻し、別の worker が再取得できるようにして多重実行を防ぐ	
クロスチェック業務	速報クロスチェックフロー		比較依頼の取得		速報比較依頼を claim する	条件	依頼状態遷移規則				
クロスチェック業務	速報クロスチェックフロー		比較依頼の取得		速報比較依頼を claim する	条件	claim 排他				
クロスチェック業務	速報クロスチェックフロー		比較依頼の取得		速報比較依頼を claim する	条件	lease 失効判定				
クロスチェック業務	速報クロスチェックフロー		比較依頼の取得		速報比較依頼を claim する	画面	rapid-crosscheck worker claim 出力	アクター	運用者		受益者
クロスチェック業務	速報クロスチェックフロー		比較依頼の取得		速報比較依頼を claim する	イベント	速報比較依頼の claim と lease 更新	外部システム	管理 DB(RDB)		
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	速報比較依頼(rapid_crosscheck_request)			速報クロスチェック worker が依頼を RUNNING にし、クロスチェックのジョブマップにある job_id ごとの比較定義に従って比較ツールでジョブ単位の比較を非同期に実行する。比較ツールの stdout・stderr・exitcode を依頼レコードへ保存し、exitcode 0 なら SUCCEEDED、非 0(比較 NG=3・実行エラー=6 など)なら FAILED として comparison_result を管理 DB に登録する。結果はジョブスケジューラへの応答に影響させない	
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	クロスチェックジョブマップ				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	比較定義				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	比較ツール実行結果				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	比較結果(comparison_result)				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	情報	実行ログ				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	依頼状態遷移規則				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	比較定義の選択				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	比較ツール終了コードの対応				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	条件	速報結果の位置付け				
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	画面	rapid-crosscheck worker 比較実行出力	アクター	運用者		受益者
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	イベント	ジョブ単位比較の起動	外部システム	比較ツール		
クロスチェック業務	速報クロスチェックフロー		ジョブ単位比較の実行		比較ツールでジョブ単位比較を実行して結果を登録する	イベント	comparison_result の登録	外部システム	管理 DB(RDB)		
クロスチェック業務	確報クロスチェックフロー		リリース判断		確報クロスチェック結果を確認する	情報	ジョブスケジューラ応答			ジョブスケジューラの確報ジョブの実行結果(標準出力・標準エラー・終了コード)で business_date 単位の全テーブル・全ファイルの日次整合性を確認し、リリース判断の正本として用いる。終了コード以外の連携データは無いため、ジョブスケジューラの標準的な仕組みだけで判定する	
クロスチェック業務	確報クロスチェックフロー		リリース判断		確報クロスチェック結果を確認する	情報	比較ツール実行結果				
クロスチェック業務	確報クロスチェックフロー		リリース判断		確報クロスチェック結果を確認する	条件	確報結果の中継制約				
クロスチェック業務	確報クロスチェックフロー		リリース判断		確報クロスチェック結果を確認する	条件	速報結果の位置付け				
クロスチェック業務	確報クロスチェックフロー		リリース判断		確報クロスチェック結果を確認する	条件	実行履歴はジョブスケジューラの責務				
クロスチェック業務	確報クロスチェックフロー		リリース判断		確報クロスチェック結果を確認する	画面	final-crosscheck 結果確認出力	アクター	運用者		受益者
クロスチェック業務	確報クロスチェックフロー		リリース判断		確報クロスチェック結果を確認する	イベント	確報ジョブ実行結果の判定	外部システム	ジョブスケジューラ		
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	情報	ジョブ起動要求			ジョブスケジューラの別ジョブ定義から起動された確報クロスチェック runner が、business_date と対象カタログの版で final_crosscheck_request を REQUESTED で登録し、SUCCEEDED / FAILED / ABORTED の終端状態になるまで同期 polling する。確報の制御は feature flag に含めず、rapid_run や rapid_crosscheck_request を再利用しない	
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	情報	確報比較依頼(final_crosscheck_request)				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	情報	対象カタログ				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	情報	クロスチェックジョブマップ				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	条件	確報依頼の登録条件				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	条件	速報と確報のモデル分離				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	条件	確報クロスチェック非起動				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	条件	依頼状態遷移規則				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	画面	final-crosscheck runner 待機出力	アクター	運用者		受益者
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	イベント	確報ジョブの起動	外部システム	ジョブスケジューラ		
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の登録と待機		確報比較依頼を登録して終端状態まで待機する	イベント	確報比較依頼の登録と polling	外部システム	管理 DB(RDB)		
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の取得		確報比較依頼を claim する	情報	確報比較依頼(final_crosscheck_request)			確報クロスチェック worker が DB セグメントで管理 DB を poll し、REQUESTED の確報比較依頼を worker_id と lease_until 付きで CLAIMED にする。lease が失効しかつ未開始なら REQUESTED に戻し、速報と同じライフサイクルで多重実行を防ぐ	
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の取得		確報比較依頼を claim する	条件	依頼状態遷移規則				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の取得		確報比較依頼を claim する	条件	claim 排他				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の取得		確報比較依頼を claim する	条件	lease 失効判定				
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の取得		確報比較依頼を claim する	画面	final-crosscheck worker claim 出力	アクター	運用者		受益者
クロスチェック業務	確報クロスチェックフロー		確報比較依頼の取得		確報比較依頼を claim する	イベント	確報比較依頼の claim と lease 更新	外部システム	管理 DB(RDB)		
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	情報	確報比較依頼(final_crosscheck_request)			確報クロスチェック worker が依頼を RUNNING にし、対象カタログに従って比較ツールで全テーブル・全ファイルの日次全量比較を起動する。起動した実装の stdout・stderr・exitcode を依頼レコードへ保存し、exitcode 0 なら SUCCEEDED、非 0 または実行エラーなら FAILED とする	
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	情報	対象カタログ				
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	情報	比較ツール実行結果				
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	情報	実行ログ				
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	条件	依頼状態遷移規則				
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	条件	比較ツール終了コードの対応				
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	条件	適用側で定義する事項				
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	画面	final-crosscheck worker 比較実行出力	アクター	運用者		受益者
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	イベント	日次全量比較の起動	外部システム	比較ツール		
クロスチェック業務	確報クロスチェックフロー		日次全量比較の実行		比較ツールで日次全量比較を実行して結果を保存する	イベント	確報結果の依頼レコード保存	外部システム	管理 DB(RDB)		
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	情報	確報比較依頼(final_crosscheck_request)			確報クロスチェック runner が終端状態になった依頼に保存された stdout・stderr・exitcode をそのまま標準出力・標準エラー・終了コードとしてジョブスケジューラへ返す。チェック結果・差分件数・レポート URI・依頼の管理状態名などの連携データは追加しない	
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	情報	比較ツール実行結果				
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	情報	ジョブスケジューラ応答				
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	条件	確報結果の中継制約				
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	条件	比較ツール終了コードの対応				
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	条件	CLI とメールによる提示				
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	画面	final-crosscheck runner 応答出力	アクター	運用者		受益者
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	イベント	確報結果の無加工中継	外部システム	ジョブスケジューラ		
クロスチェック業務	確報クロスチェックフロー		確報結果の中継		保存済みの確報結果をジョブスケジューラへ返す	イベント	保存済み確報結果の読み出し	外部システム	管理 DB(RDB)		
実行監視業務	background 実行監視フロー		通知の確認と対処判断		background 異常の通知メールを受け取る	情報	通知メール			ハング検知が送信した warning / error のメールでハング疑い・background 実行エラー・速報クロスチェック異常を受け取り、静観するか実行中止・リランで対処するかを判断する。ジョブスケジューラのジョブステータスに現れない background 異常を見落とさないための別経路の通知である	
実行監視業務	background 実行監視フロー		通知の確認と対処判断		background 異常の通知メールを受け取る	情報	監視記録				
実行監視業務	background 実行監視フロー		通知の確認と対処判断		background 異常の通知メールを受け取る	条件	通知レベルの判定				
実行監視業務	background 実行監視フロー		通知の確認と対処判断		background 異常の通知メールを受け取る	条件	CLI とメールによる提示				
実行監視業務	background 実行監視フロー		通知の確認と対処判断		background 異常の通知メールを受け取る	条件	監視は通知のみ				
実行監視業務	background 実行監視フロー		通知の確認と対処判断		background 異常の通知メールを受け取る	画面	hang-detect 通知確認出力	アクター	運用者		受益者
実行監視業務	background 実行監視フロー		通知の確認と対処判断		background 異常の通知メールを受け取る	イベント	background 異常メールの受信	外部システム	メール通知		
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	情報	slot 実行			ジョブスケジューラの定期ジョブ(5 分ごとなど)として起動されたハング検知スクリプトが、未完了の background slot 実行と速報比較依頼を走査する。started-at.txt と execution-spec.json の hang_detect_limit_minutes から経過時間を判定し、hang_detect_limit_minutes が 0 の role と foreground role は監視対象外とする。exitcode.txt が 0 なら正常終了、非 0 なら実行エラー、未出力で上限超過ならハング疑い、速報比較依頼が FAILED または比較 NG なら比較異常と判定する。RAPID_CROSSCHECK_MODE=off の場合は管理 DB なしで slot 成果物だけを走査する	
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	情報	Runner Result				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	情報	実行設定(execution-spec)				
実行監視業務	background 実行監視フロー		監視対象の判定		background 実行の経過時間と終了状態を判定する	情報	ハング検知上限設定				
