コンテキスト	条件	条件の説明	バリエーション	状態モデル
速報クロスチェック管理	完了通知の系統独立	blue / green runner は完了時に自系統の公開 function(blue-completed / green-completed)で run_id・job_id・結果を通知するだけで、相手側の状態や比較依頼の要否を判断しない	実装スロット、速報クロスチェックのプロセス役割	slot 実行
速報クロスチェック管理	両系成功判定	blue と green の両方が成功(終了コード 0)で完了したときに限り速報比較依頼を作成する。いずれかが非 0 で終了した場合は比較依頼を作成せず終了する。縦軸を blue の結果、横軸を green の結果とし、成功 × 成功のみ両系成功とする	実装スロット	速報実行の完了状況
速報クロスチェック管理	比較依頼の一意性	blue / green の完了順にかかわらず、1 つの run_id に対する速報比較依頼は 1 件だけ作成する。後に完了した側の通知で依頼を作成し、重複作成しない。両系成功から比較依頼作成済みへの遷移で判定する	実装スロット	速報実行の完了状況、クロスチェック依頼
クロスチェック定義管理	比較定義の選択	速報比較は job_id ごとの比較定義に従って比較ツールを実行する。job_id ごとに比較定義が差し替えられている場合はその job_id の定義を使う	比較種別、クロスチェック種別	
速報クロスチェック管理	速報結果の位置付け	速報クロスチェックの exitcode や失敗は通常業務ジョブの結果としてジョブスケジューラへ返さない。速報の比較結果は原因調査に使用し、リリース判断の正本には確報(日次全量比較)を用いる	クロスチェック種別、比較結果ステータス	
確報クロスチェック管理	確報依頼の登録条件	確報クロスチェック runner はジョブスケジューラから起動されたとき、business_date と対象カタログの版を持つ確報比較依頼を REQUESTED で登録し、依頼が終端状態(SUCCEEDED / FAILED / ABORTED)になるまで同期 polling する	クロスチェック種別、クロスチェック依頼状態、ジョブスケジューラ起動ジョブ種別	クロスチェック依頼
確報クロスチェック管理	確報結果の中継制約	確報クロスチェック runner は依頼に保存された stdout・stderr・exitcode だけをジョブスケジューラへそのまま返す。チェック結果・差分件数・レポート URI などの追加連携データや依頼の状態名(SUCCEEDED / FAILED / ABORTED)は返さない	比較ツール終了コード	クロスチェック依頼
確報クロスチェック管理	速報と確報のモデル分離	確報クロスチェックは final_crosscheck_request と対象カタログを用い、rapid_run や rapid_crosscheck_request を作成・変更しない	クロスチェック種別	
速報クロスチェック管理	依頼状態遷移規則	依頼は REQUESTED で作成され、worker の取得で CLAIMED、比較開始で RUNNING、exitcode 0 で SUCCEEDED、非 0 または実行エラーで FAILED、停止確認後の中止で ABORTED に遷移する。速報と確報で同一のライフサイクルを用いる	クロスチェック依頼状態、クロスチェック種別、比較ツール終了コード	クロスチェック依頼
速報クロスチェック管理	lease 失効判定	CLAIMED の依頼で lease_until が経過し、かつ比較が未開始なら依頼を REQUESTED に戻し、別の worker が再取得できる	クロスチェック依頼状態	クロスチェック依頼
速報クロスチェック管理	claim 排他	worker が依頼を claim すると worker_id と lease_until が設定され、lease 有効中は他の worker が同じ依頼を取得できない	クロスチェック依頼状態、速報クロスチェックのプロセス役割	クロスチェック依頼
確報クロスチェック管理	比較ツール終了コードの対応	依頼状態は比較ツールの終了コード契約に従う。比較 OK=0 は SUCCEEDED、比較 NG=3 は FAILED(警告終了)、実行エラー=6 は FAILED(エラー終了)とし、確報では保存した exitcode をそのままジョブスケジューラへ中継する。縦軸を比較ツール終了コード、横軸を依頼状態とする対応表	比較ツール終了コード、クロスチェック依頼状態、比較結果ステータス	クロスチェック依頼
実行監視管理	ハング検知判定	未完了の background role について started-at.txt と execution-spec.json の hang_detect_limit_minutes から経過時間を判定する。exitcode.txt があり 0 なら対象外、非 0 なら background 実行エラーとして通知、exitcode.txt がなく経過時間が上限以内なら継続監視、上限超過ならハング疑いとして通知する。縦軸を exitcode.txt の有無・値、横軸を経過時間と上限の関係とする判定表	ハング検知判定結果、Runner Result 成果物種別、ハング検知上限設定	監視状態、slot 実行
実行監視管理	ハング検知対象の除外	hang_detect_limit_minutes が 0 の role は検知対象から除外する。foreground role は 0 を設定して除外できる	ハング検知上限設定、run role(成果物ディレクトリ区分)、slot 実行モード	監視状態
実行監視管理	速報比較依頼の異常判定	速報比較依頼が FAILED または比較 NG のとき速報クロスチェック異常として通知する。RUNNING のときは状態を変更せずハング疑いとして通知する。縦軸を依頼状態、横軸を監視判定とする対応表	速報クロスチェック監視判定、クロスチェック依頼状態、比較結果ステータス	監視状態、クロスチェック依頼
実行監視管理	監視は通知のみ	ハング検知は RUNNING を ABORTED へ変更せず、実行プロセスを停止せず、新しい実行依頼を作成しない。自動中止・自動再実行は行わない		監視状態
実行監視管理	警告傾向の記録	監視は monitor_status、hang_suspected_at、alerted_at を記録する。通知後に正常終了した実行についても警告時の経過時間を記録する	監視状態	監視状態
適用構成管理	ハング検知上限の調整基準	hang_detect_limit_minutes は導入時に全ジョブ 60 分とし、正常終了パターンの警告が出そろった時点でジョブごとに最後の警告の経過時間を基準に調整する。変更は次回以降の run の execution-spec.json に反映される	ハング検知上限設定、run role(成果物ディレクトリ区分)	
実行監視管理	通知レベルの判定	ハング検知の通知は warning / error のメールで送信し、運用者が静観するか対処するかを判断できるようにする。ハング疑いは warning、background 実行エラーと速報クロスチェック異常は error とする。縦軸を判定結果、横軸を通知レベルとする対応表	通知レベル、ハング検知判定結果、速報クロスチェック監視判定	監視状態
実行復旧管理	リラン事前検証	--role が blue / green で元の slot mode が background なら新しい run_id でリランする。元の slot mode が foreground または off ならリランせずエラー終了する。--role が rapid-crosscheck なら業務ジョブを再実行せず比較依頼だけを新規作成する。未対応の role、元の実行が見つからない、元の実行が RUNNING または中止未確認の場合はリランせずエラー終了する。縦軸をリラン対象 role、横軸を元の slot 実行モードと元の状態とする判定表	リラン対象 role、slot 実行モード	slot 実行、クロスチェック依頼
実行復旧管理	リランの実行設定復元	リランは最新のジョブマップを再解決せず、元の execution-spec.json から実行パラメータ・ホスト・実行ユーザー・スクリプト・作業ディレクトリを復元して起動する	リラン対象 role	
実行復旧管理	リラン系譜の追跡	リランで発行した新しい run_id の parent_run_id には直前のリラン元 run_id を設定する。最新の run_id から parent_run_id をたどると元の実行まで数珠つなぎに追跡できる		並行稼働実行
実行復旧管理	復旧手段の選択	foreground slot 実行と確報クロスチェックは background-rerun を使用せず、ジョブスケジューラの正規ジョブを直接再実行する。background slot 実行と速報比較依頼は専用ジョブの background-rerun で再実行する。縦軸を復旧対象、横軸を再実行経路とする対応表	再実行経路、run role(成果物ディレクトリ区分)、slot 実行モード、クロスチェック種別	
実行復旧管理	slot 中止可否判定	abort-blue / abort-green は対象 slot が background かつ RUNNING のときだけ ABORTED へ遷移できる。foreground または off の場合は状態を変更せずエラー終了する。縦軸を slot 実行モード、横軸を slot 実行の状態とする判定表	中止対象種別、slot 実行モード、実装スロット	slot 実行、並行稼働実行
実行復旧管理	依頼中止可否判定	abort-rapid-crosscheck / abort-final-crosscheck は対象の比較依頼が RUNNING のときだけ ABORTED へ遷移できる。RUNNING でない場合は状態を変更せずエラー終了する	中止対象種別、クロスチェック依頼状態、クロスチェック種別	クロスチェック依頼
実行復旧管理	停止確認応答	中止スクリプトは現在状態を表示後に「対象ジョブのプロセスは強制終了してありますか？ [yes/no]」と対話確認し、yes のときだけ状態を ABORTED に更新する。yes 以外なら状態を変更せず終了する。スクリプト自身はプロセス・Pod・SSH 接続先の処理を停止しない	停止確認応答、中止対象種別	slot 実行、クロスチェック依頼、並行稼働実行
並行稼働実行管理	facade の責務限定	ジョブスケジューラは facade に JOB_ID [PARAM...] だけを渡す。facade は比較対象や実装固有の起動方式を判断せず、slot と mode の選択と foreground 結果の応答だけを行う	ジョブスケジューラ起動ジョブ種別、slot 実行モード	
適用構成管理	実装固有事項の runner への閉じ込め	実装固有の起動方式・ホスト・OS・プロトコルは slot の runner に閉じ込め、facade は設定された runner を起動するだけとする。runner を差し替えることで異なる世代の実装を並行稼働できる	実装スロット、運用モード	
適用構成管理	適用側で定義する事項	比較対象と対象カタログはクロスチェックのジョブマップで適用側が定義する。外部 IF の送受信方針・ネットワーク制約・ホスト配置は適用文書で定義し、relay-gate の仕組みには含めない	設定所有区分、対象カタログの対象種別	
実行記録管理	CLI とメールによる提示	すべてのスクリプトは CLI として起動され、結果を標準出力・標準エラー・終了コードで返す。運用者への通知はメールで行い、UI 画面は提供しない	ジョブスケジューラ起動ジョブ種別、通知レベル	
実行記録管理	実行履歴はジョブスケジューラの責務	ジョブの実行履歴・監査はジョブスケジューラの責務とし、relay-gate は Runner Result Contract の成果物と各スクリプトの実行ログをファイルとして残すだけとする	Runner Result 成果物種別	
